shard_path	conversation_id	title	created_at	updated_at	message_count	bytes
2026-06/0da8fd78-f944-4d59-942d-2978cf68a245.json	0da8fd78-f944-4d59-942d-2978cf68a245	A theory to explore	2026-06-14T04:04:37.369842Z	2026-07-31T18:36:38.873298Z	100	1557382
2026-06/d0dac8e4-c6b7-420e-9504-a68b783d382c.json	d0dac8e4-c6b7-420e-9504-a68b783d382c		2026-06-17T03:08:57.337984Z	2026-07-25T20:51:27.999030Z	6	2356
2026-06/f5fb44a9-a6b3-4c15-ab61-64a7115fcfbb.json	f5fb44a9-a6b3-4c15-ab61-64a7115fcfbb	Cold fusion exploration	2026-06-19T18:59:26.533031Z	2026-07-31T18:38:39.251456Z	584	11933272
2026-06/f64712f9-3522-4259-b6e7-5a0bcd1b1430.json	f64712f9-3522-4259-b6e7-5a0bcd1b1430		2026-06-24T17:43:57.842495Z	2026-07-25T20:51:34.102974Z	2	968
2026-07/1c36750b-cc6c-4759-805a-f12f0a370859.json	1c36750b-cc6c-4759-805a-f12f0a370859		2026-07-27T17:18:10.223884Z	2026-07-27T19:20:32.258711Z	0	272
2026-07/2664a3b0-7ab0-4766-8fb7-8a0006d3fbe8.json	2664a3b0-7ab0-4766-8fb7-8a0006d3fbe8	cold fusion	2026-07-31T09:20:33.882203Z	2026-08-01T18:49:38.363295Z	157	3495786
2026-07/35d529f0-6057-4dc0-bbe6-fdf7a3f7e7eb.json	35d529f0-6057-4dc0-bbe6-fdf7a3f7e7eb	indexing without prediction	2026-07-26T10:03:09.570943Z	2026-07-31T18:37:14.546549Z	1836	30504187
2026-07/401405ab-807f-415a-8181-230c5df278d4.json	401405ab-807f-415a-8181-230c5df278d4	The Method 1	2026-07-30T06:26:27.168082Z	2026-07-31T18:37:25.195540Z	49	992060
2026-07/4a7e46da-fbaf-4ff2-9790-767bd335cb6f.json	4a7e46da-fbaf-4ff2-9790-767bd335cb6f	Lach Elemental Lattice 2026 overview	2026-07-25T23:44:52.918147Z	2026-07-31T18:37:02.909884Z	6	132514
2026-07/5e385c4e-33b9-45bc-911f-8e3a4db52ce1.json	5e385c4e-33b9-45bc-911f-8e3a4db52ce1		2026-07-27T20:06:01.735103Z	2026-07-28T12:00:46.220367Z	2	968
2026-07/5f7147b4-49d3-4c64-8846-a2b19510f635.json	5f7147b4-49d3-4c64-8846-a2b19510f635	The Method 1.4	2026-07-30T08:13:50.744479Z	2026-08-15T13:50:15.415488Z	422	11228411
2026-07/624f002f-b128-475f-979e-d65e85fc991d.json	624f002f-b128-475f-979e-d65e85fc991d	Practical applications of the lattice framework	2026-07-27T17:24:38.528122Z	2026-07-31T18:38:21.360006Z	12	540259
2026-07/90e1dabf-fa50-4e1a-96a0-6e30c5bde46c.json	90e1dabf-fa50-4e1a-96a0-6e30c5bde46c	electromagnetism	2026-07-31T21:19:42.513517Z	2026-08-01T17:04:51.733428Z	54	1634100
2026-07/d175ab4c-e19d-465e-acbc-447f0620a8cc.json	d175ab4c-e19d-465e-acbc-447f0620a8cc	Lattice formalism for electronic occupancy sequencing	2026-07-27T00:09:19.704787Z	2026-07-31T18:36:54.201822Z	34	1598702
