# Gamma-point phonon symmetry content of EVERY site-symmetry type in
# all 230 crystallographic space groups.  1,120 members.
# COMPUTED end to end.  spglib 2.7.0 supplies the space-group operations;
# the conventional setting is transformed to the PRIMITIVE basis (one
# translation per rotation); site-symmetry subgroups are found as point
# stabilisers on a 1/12 rational grid and grouped by conjugacy; the point
# group's CHARACTER TABLE is computed by Burnside's class-algebra method
# and validated (integral dims, sum(dim^2)=|G|, row orthonormality); the
# mechanical representation chi(R,t) = N_fixed(R,t) tr(R) is decomposed by
# orthogonality.  NO TEXTBOOK CHARACTER TABLE AND NO WYCKOFF TABLE IS READ.
# Every row satisfies: integral multiplicities, and modes = 3 x multiplicity.
# decomposition is 'mult x dim' terms, e.g. 1x3+1x3 = two distinct triplets.
sg	system	pg_order	site_order	multiplicity	modes	n_irreps	decomposition
140	tetragonal	16	8	2	6	4	1x1+1x1+1x2+1x2
140	tetragonal	16	8	2	6	4	1x1+1x1+1x2+1x2
140	tetragonal	16	4	4	12	5	1x1+2x1+2x1+1x1+3x2
140	tetragonal	16	4	4	12	6	1x1+1x1+1x1+1x1+2x2+2x2
140	tetragonal	16	4	4	12	6	1x1+1x1+1x1+1x1+2x2+2x2
140	tetragonal	16	4	4	12	8	1x1+1x1+1x1+1x1+1x1+1x1+2x2+1x2
140	tetragonal	16	2	8	24	10	1x1+1x1+1x1+1x1+2x1+2x1+2x1+2x1+4x2+2x2
140	tetragonal	16	2	8	24	10	2x1+1x1+2x1+1x1+2x1+1x1+2x1+1x1+3x2+3x2
140	tetragonal	16	2	8	24	10	1x1+2x1+2x1+1x1+1x1+2x1+2x1+1x1+3x2+3x2
140	tetragonal	16	2	8	24	10	1x1+2x1+2x1+1x1+2x1+1x1+1x1+2x1+3x2+3x2
140	tetragonal	16	1	16	48	10	3x1+3x1+3x1+3x1+3x1+3x1+3x1+3x1+6x2+6x2
141	tetragonal	16	8	2	6	4	1x1+1x1+1x2+1x2
141	tetragonal	16	4	4	12	6	1x1+1x1+1x1+1x1+2x2+2x2
141	tetragonal	16	2	8	24	10	1x1+1x1+2x1+2x1+2x1+2x1+1x1+1x1+3x2+3x2
141	tetragonal	16	2	8	24	10	2x1+1x1+1x1+2x1+2x1+1x1+1x1+2x1+3x2+3x2
141	tetragonal	16	1	16	48	10	3x1+3x1+3x1+3x1+3x1+3x1+3x1+3x1+6x2+6x2
142	tetragonal	16	4	4	12	6	1x1+1x1+1x1+1x1+2x2+2x2
142	tetragonal	16	4	4	12	6	1x1+1x1+1x1+1x1+2x2+2x2
142	tetragonal	16	2	8	24	10	1x1+1x1+1x1+1x1+1x1+1x1+1x1+1x1+4x2+4x2
142	tetragonal	16	2	8	24	10	1x1+1x1+2x1+2x1+2x1+2x1+1x1+1x1+3x2+3x2
142	tetragonal	16	1	16	48	10	3x1+3x1+3x1+3x1+3x1+3x1+3x1+3x1+6x2+6x2
143	trigonal	3	3	1	3	3	1x1+1x1+1x1
143	trigonal	3	1	3	9	3	3x1+3x1+3x1
144	trigonal	3	1	3	9	3	3x1+3x1+3x1
145	trigonal	3	1	3	9	3	3x1+3x1+3x1
146	trigonal	3	3	1	3	3	1x1+1x1+1x1
146	trigonal	3	1	3	9	3	3x1+3x1+3x1
147	trigonal	6	6	1	3	3	1x1+1x1+1x1
147	trigonal	6	3	2	6	6	1x1+1x1+1x1+1x1+1x1+1x1
147	trigonal	6	2	3	9	3	3x1+3x1+3x1
147	trigonal	6	1	6	18	6	3x1+3x1+3x1+3x1+3x1+3x1
148	trigonal	6	6	1	3	3	1x1+1x1+1x1
148	trigonal	6	3	2	6	6	1x1+1x1+1x1+1x1+1x1+1x1
148	trigonal	6	2	3	9	3	3x1+3x1+3x1
148	trigonal	6	1	6	18	6	3x1+3x1+3x1+3x1+3x1+3x1
149	trigonal	6	6	1	3	2	1x1+1x2
149	trigonal	6	3	2	6	3	1x1+1x1+2x2
149	trigonal	6	2	3	9	3	2x1+1x1+3x2
149	trigonal	6	1	6	18	3	3x1+3x1+6x2
150	trigonal	6	6	1	3	2	1x1+1x2
150	trigonal	6	3	2	6	3	1x1+1x1+2x2
150	trigonal	6	2	3	9	3	2x1+1x1+3x2
150	trigonal	6	1	6	18	3	3x1+3x1+6x2
151	trigonal	6	2	3	9	3	2x1+1x1+3x2
151	trigonal	6	1	6	18	3	3x1+3x1+6x2
152	trigonal	6	2	3	9	3	2x1+1x1+3x2
152	trigonal	6	1	6	18	3	3x1+3x1+6x2
153	trigonal	6	2	3	9	3	2x1+1x1+3x2
153	trigonal	6	1	6	18	3	3x1+3x1+6x2
154	trigonal	6	2	3	9	3	2x1+1x1+3x2
154	trigonal	6	1	6	18	3	3x1+3x1+6x2
155	trigonal	6	6	1	3	2	1x1+1x2
155	trigonal	6	3	2	6	3	1x1+1x1+2x2
155	trigonal	6	2	3	9	3	2x1+1x1+3x2
155	trigonal	6	1	6	18	3	3x1+3x1+6x2
156	trigonal	6	6	1	3	2	1x1+1x2
156	trigonal	6	2	3	9	3	1x1+2x1+3x2
156	trigonal	6	1	6	18	3	3x1+3x1+6x2
157	trigonal	6	6	1	3	2	1x1+1x2
157	trigonal	6	3	2	6	3	1x1+1x1+2x2
157	trigonal	6	2	3	9	3	1x1+2x1+3x2
157	trigonal	6	1	6	18	3	3x1+3x1+6x2
158	trigonal	6	3	2	6	3	1x1+1x1+2x2
158	trigonal	6	1	6	18	3	3x1+3x1+6x2
159	trigonal	6	3	2	6	3	1x1+1x1+2x2
159	trigonal	6	1	6	18	3	3x1+3x1+6x2
160	trigonal	6	6	1	3	2	1x1+1x2
160	trigonal	6	2	3	9	3	1x1+2x1+3x2
160	trigonal	6	1	6	18	3	3x1+3x1+6x2
161	trigonal	6	3	2	6	3	1x1+1x1+2x2
161	trigonal	6	1	6	18	3	3x1+3x1+6x2
162	trigonal	12	12	1	3	2	1x1+1x2
162	trigonal	12	6	2	6	4	1x1+1x1+1x2+1x2
162	trigonal	12	6	2	6	4	1x1+1x1+1x2+1x2
162	trigonal	12	4	3	9	3	2x1+1x1+3x2
162	trigonal	12	3	4	12	6	1x1+1x1+1x1+1x1+2x2+2x2
162	trigonal	12	2	6	18	6	2x1+1x1+2x1+1x1+3x2+3x2
162	trigonal	12	2	6	18	6	2x1+1x1+1x1+2x1+3x2+3x2
162	trigonal	12	1	12	36	6	3x1+3x1+3x1+3x1+6x2+6x2
163	trigonal	12	6	2	6	3	1x1+1x1+2x2
163	trigonal	12	6	2	6	4	1x1+1x1+1x2+1x2
163	trigonal	12	3	4	12	6	1x1+1x1+1x1+1x1+2x2+2x2
163	trigonal	12	2	6	18	3	3x1+3x1+6x2
163	trigonal	12	2	6	18	6	2x1+1x1+2x1+1x1+3x2+3x2
163	trigonal	12	1	12	36	6	3x1+3x1+3x1+3x1+6x2+6x2
164	trigonal	12	12	1	3	2	1x1+1x2
164	trigonal	12	6	2	6	4	1x1+1x1+1x2+1x2
164	trigonal	12	4	3	9	3	2x1+1x1+3x2
164	trigonal	12	2	6	18	6	2x1+1x1+2x1+1x1+3x2+3x2
164	trigonal	12	2	6	18	6	2x1+1x1+1x1+2x1+3x2+3x2
164	trigonal	12	1	12	36	6	3x1+3x1+3x1+3x1+6x2+6x2
165	trigonal	12	6	2	6	3	1x1+1x1+2x2
165	trigonal	12	6	2	6	4	1x1+1x1+1x2+1x2
165	trigonal	12	3	4	12	6	1x1+1x1+1x1+1x1+2x2+2x2
165	trigonal	12	2	6	18	3	3x1+3x1+6x2
165	trigonal	12	2	6	18	6	2x1+1x1+2x1+1x1+3x2+3x2
165	trigonal	12	1	12	36	6	3x1+3x1+3x1+3x1+6x2+6x2
166	trigonal	12	12	1	3	2	1x1+1x2
166	trigonal	12	6	2	6	4	1x1+1x1+1x2+1x2
166	trigonal	12	4	3	9	3	2x1+1x1+3x2
166	trigonal	12	2	6	18	6	2x1+1x1+2x1+1x1+3x2+3x2
166	trigonal	12	2	6	18	6	2x1+1x1+1x1+2x1+3x2+3x2
166	trigonal	12	1	12	36	6	3x1+3x1+3x1+3x1+6x2+6x2
167	trigonal	12	6	2	6	3	1x1+1x1+2x2
167	trigonal	12	6	2	6	4	1x1+1x1+1x2+1x2
167	trigonal	12	3	4	12	6	1x1+1x1+1x1+1x1+2x2+2x2
167	trigonal	12	2	6	18	3	3x1+3x1+6x2
167	trigonal	12	2	6	18	6	2x1+1x1+2x1+1x1+3x2+3x2
167	trigonal	12	1	12	36	6	3x1+3x1+3x1+3x1+6x2+6x2
168	hexagonal	6	6	1	3	3	1x1+1x1+1x1
168	hexagonal	6	3	2	6	6	1x1+1x1+1x1+1x1+1x1+1x1
168	hexagonal	6	2	3	9	6	2x1+1x1+1x1+2x1+2x1+1x1
168	hexagonal	6	1	6	18	6	3x1+3x1+3x1+3x1+3x1+3x1
169	hexagonal	6	1	6	18	6	3x1+3x1+3x1+3x1+3x1+3x1
170	hexagonal	6	1	6	18	6	3x1+3x1+3x1+3x1+3x1+3x1
171	hexagonal	6	2	3	9	6	2x1+1x1+1x1+2x1+2x1+1x1
171	hexagonal	6	1	6	18	6	3x1+3x1+3x1+3x1+3x1+3x1
172	hexagonal	6	2	3	9	6	2x1+1x1+1x1+2x1+2x1+1x1
172	hexagonal	6	1	6	18	6	3x1+3x1+3x1+3x1+3x1+3x1
173	hexagonal	6	3	2	6	6	1x1+1x1+1x1+1x1+1x1+1x1
173	hexagonal	6	1	6	18	6	3x1+3x1+3x1+3x1+3x1+3x1
174	hexagonal	6	6	1	3	3	1x1+1x1+1x1
174	hexagonal	6	3	2	6	6	1x1+1x1+1x1+1x1+1x1+1x1
174	hexagonal	6	2	3	9	6	1x1+2x1+2x1+1x1+1x1+2x1
174	hexagonal	6	1	6	18	6	3x1+3x1+3x1+3x1+3x1+3x1
175	hexagonal	12	12	1	3	3	1x1+1x1+1x1
175	hexagonal	12	6	2	6	6	1x1+1x1+1x1+1x1+1x1+1x1
175	hexagonal	12	6	2	6	6	1x1+1x1+1x1+1x1+1x1+1x1
175	hexagonal	12	4	3	9	6	2x1+1x1+1x1+2x1+2x1+1x1
175	hexagonal	12	3	4	12	12	1x1+1x1+1x1+1x1+1x1+1x1+1x1+1x1+1x1+1x1+1x1+1x1
175	hexagonal	12	2	6	18	12	2x1+1x1+1x1+2x1+2x1+1x1+2x1+1x1+1x1+2x1+2x1+1x1
175	hexagonal	12	2	6	18	12	2x1+1x1+1x1+2x1+2x1+1x1+1x1+2x1+2x1+1x1+1x1+2x1
175	hexagonal	12	1	12	36	12	3x1+3x1+3x1+3x1+3x1+3x1+3x1+3x1+3x1+3x1+3x1+3x1
176	hexagonal	12	6	2	6	6	1x1+1x1+1x1+1x1+1x1+1x1
176	hexagonal	12	6	2	6	6	1x1+1x1+1x1+1x1+1x1+1x1
176	hexagonal	12	3	4	12	12	1x1+1x1+1x1+1x1+1x1+1x1+1x1+1x1+1x1+1x1+1x1+1x1
176	hexagonal	12	2	6	18	6	3x1+3x1+3x1+3x1+3x1+3x1
176	hexagonal	12	2	6	18	12	2x1+1x1+1x1+2x1+2x1+1x1+1x1+2x1+2x1+1x1+1x1+2x1
176	hexagonal	12	1	12	36	12	3x1+3x1+3x1+3x1+3x1+3x1+3x1+3x1+3x1+3x1+3x1+3x1
177	hexagonal	12	12	1	3	2	1x1+1x2
177	hexagonal	12	6	2	6	3	1x1+1x1+2x2
177	hexagonal	12	6	2	6	4	1x1+1x1+1x2+1x2
177	hexagonal	12	4	3	9	5	1x1+1x1+1x1+1x2+2x2
177	hexagonal	12	3	4	12	6	1x1+1x1+1x1+1x1+2x2+2x2
177	hexagonal	12	2	6	18	6	2x1+2x1+1x1+1x1+2x2+4x2
177	hexagonal	12	2	6	18	6	2x1+1x1+2x1+1x1+3x2+3x2
177	hexagonal	12	2	6	18	6	1x1+2x1+2x1+1x1+3x2+3x2
177	hexagonal	12	1	12	36	6	3x1+3x1+3x1+3x1+6x2+6x2
178	hexagonal	12	2	6	18	6	2x1+1x1+2x1+1x1+3x2+3x2
178	hexagonal	12	2	6	18	6	1x1+2x1+2x1+1x1+3x2+3x2
178	hexagonal	12	1	12	36	6	3x1+3x1+3x1+3x1+6x2+6x2
179	hexagonal	12	2	6	18	6	2x1+1x1+2x1+1x1+3x2+3x2
179	hexagonal	12	2	6	18	6	1x1+2x1+2x1+1x1+3x2+3x2
179	hexagonal	12	1	12	36	6	3x1+3x1+3x1+3x1+6x2+6x2
180	hexagonal	12	4	3	9	5	1x1+1x1+1x1+1x2+2x2
180	hexagonal	12	2	6	18	6	2x1+2x1+1x1+1x1+2x2+4x2
180	hexagonal	12	2	6	18	6	2x1+1x1+2x1+1x1+3x2+3x2
180	hexagonal	12	2	6	18	6	1x1+2x1+2x1+1x1+3x2+3x2
180	hexagonal	12	1	12	36	6	3x1+3x1+3x1+3x1+6x2+6x2
181	hexagonal	12	4	3	9	5	1x1+1x1+1x1+1x2+2x2
181	hexagonal	12	2	6	18	6	2x1+2x1+1x1+1x1+2x2+4x2
181	hexagonal	12	2	6	18	6	2x1+1x1+2x1+1x1+3x2+3x2
181	hexagonal	12	2	6	18	6	1x1+2x1+2x1+1x1+3x2+3x2
181	hexagonal	12	1	12	36	6	3x1+3x1+3x1+3x1+6x2+6x2
182	hexagonal	12	6	2	6	4	1x1+1x1+1x2+1x2
182	hexagonal	12	6	2	6	4	1x1+1x1+1x2+1x2
182	hexagonal	12	3	4	12	6	1x1+1x1+1x1+1x1+2x2+2x2
182	hexagonal	12	2	6	18	6	2x1+1x1+2x1+1x1+3x2+3x2
182	hexagonal	12	2	6	18	6	1x1+2x1+2x1+1x1+3x2+3x2
182	hexagonal	12	1	12	36	6	3x1+3x1+3x1+3x1+6x2+6x2
183	hexagonal	12	12	1	3	2	1x1+1x2
183	hexagonal	12	6	2	6	4	1x1+1x1+1x2+1x2
183	hexagonal	12	4	3	9	5	1x1+1x1+1x1+1x2+2x2
183	hexagonal	12	2	6	18	6	1x1+2x1+1x1+2x1+3x2+3x2
183	hexagonal	12	2	6	18	6	2x1+1x1+1x1+2x1+3x2+3x2
183	hexagonal	12	1	12	36	6	3x1+3x1+3x1+3x1+6x2+6x2
184	hexagonal	12	6	2	6	3	1x1+1x1+2x2
184	hexagonal	12	3	4	12	6	1x1+1x1+1x1+1x1+2x2+2x2
184	hexagonal	12	2	6	18	6	2x1+2x1+1x1+1x1+2x2+4x2
184	hexagonal	12	1	12	36	6	3x1+3x1+3x1+3x1+6x2+6x2
185	hexagonal	12	6	2	6	4	1x1+1x1+1x2+1x2
185	hexagonal	12	3	4	12	6	1x1+1x1+1x1+1x1+2x2+2x2
185	hexagonal	12	2	6	18	6	1x1+2x1+1x1+2x1+3x2+3x2
185	hexagonal	12	1	12	36	6	3x1+3x1+3x1+3x1+6x2+6x2
186	hexagonal	12	6	2	6	4	1x1+1x1+1x2+1x2
186	hexagonal	12	2	6	18	6	2x1+1x1+1x1+2x1+3x2+3x2
186	hexagonal	12	1	12	36	6	3x1+3x1+3x1+3x1+6x2+6x2
187	hexagonal	12	12	1	3	2	1x1+1x2
187	hexagonal	12	6	2	6	4	1x1+1x1+1x2+1x2
187	hexagonal	12	4	3	9	5	1x1+1x1+1x1+2x2+1x2
187	hexagonal	12	2	6	18	6	1x1+1x1+2x1+2x1+4x2+2x2
187	hexagonal	12	2	6	18	6	2x1+1x1+1x1+2x1+3x2+3x2
187	hexagonal	12	1	12	36	6	3x1+3x1+3x1+3x1+6x2+6x2
188	hexagonal	12	6	2	6	3	1x1+1x1+2x2
188	hexagonal	12	6	2	6	4	1x1+1x1+1x2+1x2
188	hexagonal	12	3	4	12	6	1x1+1x1+1x1+1x1+2x2+2x2
188	hexagonal	12	2	6	18	6	1x1+1x1+2x1+2x1+4x2+2x2
188	hexagonal	12	2	6	18	6	2x1+1x1+2x1+1x1+3x2+3x2
188	hexagonal	12	1	12	36	6	3x1+3x1+3x1+3x1+6x2+6x2
189	hexagonal	12	12	1	3	2	1x1+1x2
189	hexagonal	12	6	2	6	3	1x1+1x1+2x2
189	hexagonal	12	6	2	6	4	1x1+1x1+1x2+1x2
189	hexagonal	12	4	3	9	5	1x1+1x1+1x1+2x2+1x2
189	hexagonal	12	3	4	12	6	1x1+1x1+1x1+1x1+2x2+2x2
189	hexagonal	12	2	6	18	6	1x1+1x1+2x1+2x1+4x2+2x2
189	hexagonal	12	2	6	18	6	1x1+2x1+1x1+2x1+3x2+3x2
189	hexagonal	12	1	12	36	6	3x1+3x1+3x1+3x1+6x2+6x2
190	hexagonal	12	6	2	6	3	1x1+1x1+2x2
190	hexagonal	12	6	2	6	4	1x1+1x1+1x2+1x2
190	hexagonal	12	3	4	12	6	1x1+1x1+1x1+1x1+2x2+2x2
190	hexagonal	12	2	6	18	6	1x1+1x1+2x1+2x1+4x2+2x2
190	hexagonal	12	2	6	18	6	1x1+2x1+2x1+1x1+3x2+3x2
190	hexagonal	12	1	12	36	6	3x1+3x1+3x1+3x1+6x2+6x2
191	hexagonal	24	24	1	3	2	1x1+1x2
191	hexagonal	24	12	2	6	4	1x1+1x1+1x2+1x2
191	hexagonal	24	12	2	6	4	1x1+1x1+1x2+1x2
191	hexagonal	24	8	3	9	5	1x1+1x1+1x1+1x2+2x2
191	hexagonal	24	6	4	12	8	1x1+1x1+1x1+1x1+1x2+1x2+1x2+1x2
191	hexagonal	24	4	6	18	10	1x1+1x1+1x1+1x1+1x1+1x1+1x2+2x2+1x2+2x2
191	hexagonal	24	4	6	18	10	1x1+1x1+1x1+1x1+1x1+1x1+1x2+2x2+2x2+1x2
191	hexagonal	24	4	6	18	10	1x1+1x1+1x1+1x1+1x1+1x1+1x2+2x2+2x2+1x2
191	hexagonal	24	2	12	36	12	2x1+2x1+1x1+1x1+1x1+1x1+2x1+2x1+2x2+4x2+4x2+2x2
191	hexagonal	24	2	12	36	12	2x1+1x1+2x1+1x1+1x1+2x1+1x1+2x1+3x2+3x2+3x2+3x2
191	hexagonal	24	2	12	36	12	1x1+2x1+2x1+1x1+2x1+1x1+1x1+2x1+3x2+3x2+3x2+3x2
191	hexagonal	24	1	24	72	12	3x1+3x1+3x1+3x1+3x1+3x1+3x1+3x1+6x2+6x2+6x2+6x2
192	hexagonal	24	12	2	6	3	1x1+1x1+2x2
192	hexagonal	24	12	2	6	4	1x1+1x1+1x2+1x2
192	hexagonal	24	6	4	12	6	1x1+1x1+1x1+1x1+2x2+2x2
192	hexagonal	24	6	4	12	6	1x1+1x1+1x1+1x1+2x2+2x2
192	hexagonal	24	6	4	12	8	1x1+1x1+1x1+1x1+1x2+1x2+1x2+1x2
192	hexagonal	24	4	6	18	6	2x1+2x1+1x1+1x1+2x2+4x2
192	hexagonal	24	4	6	18	10	1x1+1x1+1x1+1x1+1x1+1x1+1x2+2x2+1x2+2x2
192	hexagonal	24	3	8	24	12	1x1+1x1+1x1+1x1+1x1+1x1+1x1+1x1+2x2+2x2+2x2+2x2
192	hexagonal	24	2	12	36	12	2x1+2x1+1x1+1x1+2x1+2x1+1x1+1x1+2x2+4x2+2x2+4x2
192	hexagonal	24	2	12	36	12	2x1+2x1+1x1+1x1+1x1+1x1+2x1+2x1+2x2+4x2+4x2+2x2
192	hexagonal	24	2	12	36	12	2x1+1x1+2x1+1x1+2x1+1x1+2x1+1x1+3x2+3x2+3x2+3x2
192	hexagonal	24	2	12	36	12	1x1+2x1+2x1+1x1+1x1+2x1+2x1+1x1+3x2+3x2+3x2+3x2
192	hexagonal	24	1	24	72	12	3x1+3x1+3x1+3x1+3x1+3x1+3x1+3x1+6x2+6x2+6x2+6x2
193	hexagonal	24	12	2	6	4	1x1+1x1+1x2+1x2
193	hexagonal	24	12	2	6	4	1x1+1x1+1x2+1x2
193	hexagonal	24	6	4	12	6	1x1+1x1+1x1+1x1+2x2+2x2
193	hexagonal	24	6	4	12	8	1x1+1x1+1x1+1x1+1x2+1x2+1x2+1x2
193	hexagonal	24	6	4	12	8	1x1+1x1+1x1+1x1+1x2+1x2+1x2+1x2
193	hexagonal	24	4	6	18	6	2x1+1x1+2x1+1x1+3x2+3x2
193	hexagonal	24	4	6	18	10	1x1+1x1+1x1+1x1+1x1+1x1+1x2+2x2+2x2+1x2
193	hexagonal	24	3	8	24	12	1x1+1x1+1x1+1x1+1x1+1x1+1x1+1x1+2x2+2x2+2x2+2x2
193	hexagonal	24	2	12	36	12	2x1+2x1+1x1+1x1+1x1+1x1+2x1+2x1+2x2+4x2+4x2+2x2
193	hexagonal	24	2	12	36	12	2x1+1x1+2x1+1x1+2x1+1x1+2x1+1x1+3x2+3x2+3x2+3x2
193	hexagonal	24	2	12	36	12	2x1+1x1+2x1+1x1+1x1+2x1+1x1+2x1+3x2+3x2+3x2+3x2
193	hexagonal	24	1	24	72	12	3x1+3x1+3x1+3x1+3x1+3x1+3x1+3x1+6x2+6x2+6x2+6x2
194	hexagonal	24	12	2	6	4	1x1+1x1+1x2+1x2
194	hexagonal	24	12	2	6	4	1x1+1x1+1x2+1x2
194	hexagonal	24	6	4	12	8	1x1+1x1+1x1+1x1+1x2+1x2+1x2+1x2
194	hexagonal	24	4	6	18	6	1x1+2x1+2x1+1x1+3x2+3x2
194	hexagonal	24	4	6	18	10	1x1+1x1+1x1+1x1+1x1+1x1+1x2+2x2+2x2+1x2
194	hexagonal	24	2	12	36	12	2x1+2x1+1x1+1x1+1x1+1x1+2x1+2x1+2x2+4x2+4x2+2x2
194	hexagonal	24	2	12	36	12	1x1+2x1+2x1+1x1+1x1+2x1+2x1+1x1+3x2+3x2+3x2+3x2
194	hexagonal	24	2	12	36	12	1x1+2x1+2x1+1x1+2x1+1x1+1x1+2x1+3x2+3x2+3x2+3x2
194	hexagonal	24	1	24	72	12	3x1+3x1+3x1+3x1+3x1+3x1+3x1+3x1+6x2+6x2+6x2+6x2
195	cubic	12	12	1	3	1	1x3
195	cubic	12	4	3	9	1	3x3
195	cubic	12	3	4	12	4	1x1+1x1+1x1+3x3
195	cubic	12	2	6	18	4	1x1+1x1+1x1+5x3
195	cubic	12	1	12	36	4	3x1+3x1+3x1+9x3
196	cubic	12	12	1	3	1	1x3
196	cubic	12	3	4	12	4	1x1+1x1+1x1+3x3
196	cubic	12	2	6	18	4	1x1+1x1+1x1+5x3
196	cubic	12	1	12	36	4	3x1+3x1+3x1+9x3
197	cubic	12	12	1	3	1	1x3
197	cubic	12	4	3	9	1	3x3
197	cubic	12	3	4	12	4	1x1+1x1+1x1+3x3
197	cubic	12	2	6	18	4	1x1+1x1+1x1+5x3
197	cubic	12	1	12	36	4	3x1+3x1+3x1+9x3
198	cubic	12	3	4	12	4	1x1+1x1+1x1+3x3
198	cubic	12	1	12	36	4	3x1+3x1+3x1+9x3
199	cubic	12	3	4	12	4	1x1+1x1+1x1+3x3
199	cubic	12	2	6	18	4	1x1+1x1+1x1+5x3
199	cubic	12	1	12	36	4	3x1+3x1+3x1+9x3
200	cubic	24	24	1	3	1	1x3
200	cubic	24	8	3	9	1	3x3
200	cubic	24	4	6	18	5	1x1+1x1+1x1+3x3+2x3
200	cubic	24	3	8	24	8	1x1+1x1+1x1+1x1+1x1+1x1+3x3+3x3
200	cubic	24	2	12	36	8	1x1+1x1+1x1+2x1+2x1+2x1+5x3+4x3
200	cubic	24	1	24	72	8	3x1+3x1+3x1+3x1+3x1+3x1+9x3+9x3
201	cubic	24	12	2	6	2	1x3+1x3
201	cubic	24	6	4	12	4	1x1+1x1+1x1+3x3
201	cubic	24	4	6	18	2	3x3+3x3
201	cubic	24	3	8	24	8	1x1+1x1+1x1+1x1+1x1+1x1+3x3+3x3
201	cubic	24	2	12	36	8	1x1+1x1+1x1+1x1+1x1+1x1+5x3+5x3
201	cubic	24	1	24	72	8	3x1+3x1+3x1+3x1+3x1+3x1+9x3+9x3
202	cubic	24	24	1	3	1	1x3
202	cubic	24	12	2	6	2	1x3+1x3
202	cubic	24	4	6	18	4	1x1+1x1+1x1+5x3
202	cubic	24	4	6	18	5	1x1+1x1+1x1+3x3+2x3
202	cubic	24	3	8	24	8	1x1+1x1+1x1+1x1+1x1+1x1+3x3+3x3
202	cubic	24	2	12	36	8	1x1+1x1+1x1+1x1+1x1+1x1+5x3+5x3
202	cubic	24	2	12	36	8	1x1+1x1+1x1+2x1+2x1+2x1+5x3+4x3
202	cubic	24	1	24	72	8	3x1+3x1+3x1+3x1+3x1+3x1+9x3+9x3
203	cubic	24	12	2	6	2	1x3+1x3
203	cubic	24	3	8	24	8	1x1+1x1+1x1+1x1+1x1+1x1+3x3+3x3
203	cubic	24	2	12	36	8	1x1+1x1+1x1+1x1+1x1+1x1+5x3+5x3
203	cubic	24	1	24	72	8	3x1+3x1+3x1+3x1+3x1+3x1+9x3+9x3
204	cubic	24	24	1	3	1	1x3
204	cubic	24	8	3	9	1	3x3
204	cubic	24	6	4	12	4	1x1+1x1+1x1+3x3
204	cubic	24	4	6	18	5	1x1+1x1+1x1+3x3+2x3
204	cubic	24	3	8	24	8	1x1+1x1+1x1+1x1+1x1+1x1+3x3+3x3
204	cubic	24	2	12	36	8	1x1+1x1+1x1+2x1+2x1+2x1+5x3+4x3
204	cubic	24	1	24	72	8	3x1+3x1+3x1+3x1+3x1+3x1+9x3+9x3
205	cubic	24	6	4	12	4	1x1+1x1+1x1+3x3
205	cubic	24	3	8	24	8	1x1+1x1+1x1+1x1+1x1+1x1+3x3+3x3
205	cubic	24	1	24	72	8	3x1+3x1+3x1+3x1+3x1+3x1+9x3+9x3
206	cubic	24	6	4	12	4	1x1+1x1+1x1+3x3
206	cubic	24	3	8	24	8	1x1+1x1+1x1+1x1+1x1+1x1+3x3+3x3
206	cubic	24	2	12	36	8	1x1+1x1+1x1+1x1+1x1+1x1+5x3+5x3
206	cubic	24	1	24	72	8	3x1+3x1+3x1+3x1+3x1+3x1+9x3+9x3
207	cubic	24	24	1	3	1	1x3
207	cubic	24	8	3	9	2	1x3+2x3
207	cubic	24	4	6	18	4	1x1+1x2+2x3+3x3
207	cubic	24	3	8	24	5	1x1+1x1+2x2+3x3+3x3
207	cubic	24	2	12	36	5	1x1+1x1+2x2+5x3+5x3
207	cubic	24	2	12	36	5	2x1+1x1+3x2+4x3+5x3
207	cubic	24	1	24	72	5	3x1+3x1+6x2+9x3+9x3
208	cubic	24	12	2	6	2	1x3+1x3
208	cubic	24	6	4	12	4	1x1+1x2+1x3+2x3
208	cubic	24	4	6	18	2	3x3+3x3
208	cubic	24	4	6	18	4	1x1+1x2+2x3+3x3
208	cubic	24	3	8	24	5	1x1+1x1+2x2+3x3+3x3
208	cubic	24	2	12	36	5	1x1+1x1+2x2+5x3+5x3
208	cubic	24	2	12	36	5	2x1+1x1+3x2+4x3+5x3
208	cubic	24	1	24	72	5	3x1+3x1+6x2+9x3+9x3
209	cubic	24	24	1	3	1	1x3
209	cubic	24	12	2	6	2	1x3+1x3
209	cubic	24	4	6	18	4	1x1+1x2+2x3+3x3
209	cubic	24	4	6	18	4	1x1+1x2+2x3+3x3
209	cubic	24	3	8	24	5	1x1+1x1+2x2+3x3+3x3
209	cubic	24	2	12	36	5	1x1+1x1+2x2+5x3+5x3
209	cubic	24	2	12	36	5	2x1+1x1+3x2+4x3+5x3
209	cubic	24	1	24	72	5	3x1+3x1+6x2+9x3+9x3
210	cubic	24	12	2	6	2	1x3+1x3
210	cubic	24	3	8	24	5	1x1+1x1+2x2+3x3+3x3
210	cubic	24	2	12	36	5	1x1+1x1+2x2+5x3+5x3
210	cubic	24	1	24	72	5	3x1+3x1+6x2+9x3+9x3
211	cubic	24	24	1	3	1	1x3
211	cubic	24	8	3	9	2	1x3+2x3
211	cubic	24	6	4	12	4	1x1+1x2+1x3+2x3
211	cubic	24	4	6	18	4	1x1+1x2+2x3+3x3
