# arXiv:2303.13849 -- Teng & Ma, Magnetic and antimagnetic rotational bands data tables
# one row per band member carrying an I^pi.  2I is doubled so a
# half-integer spin stays an integer.  par blank = no parity printed.
table	A	Z	el	band	E_keV	2I	par
MR	198	82	Pb	2	8255.7	50	-1
MR	198	82	Pb	2	8739.6	52	-1
MR	198	82	Pb	2	9154.6	54	-1
MR	198	82	Pb	3	5379.0	32	-1
MR	198	82	Pb	3	5492.6	34	-1
MR	198	82	Pb	3	5648.3	36	-1
MR	198	82	Pb	3	5863.3	38	-1
MR	198	82	Pb	3	6141.7	40	-1
MR	198	82	Pb	3	6483.9	42	-1
MR	198	82	Pb	3	6872.7	44	-1
MR	198	82	Pb	3	7295.1	46	-1
MR	198	82	Pb	3	7739.2	48	-1
MR	198	82	Pb	3	8210.7	50	-1
MR	198	82	Pb	3	8686.2	52	-1
MR	198	82	Pb	3	9112.5	54	-1
MR	198	82	Pb	3	9512.5	56	-1
MR	198	82	Pb	3	9930.7	58	-1
MR	198	82	Pb	3	10380.5	60	-1
MR	198	82	Pb	3	10869.5	62	-1
MR	198	82	Pb	3	11398.9	64	-1
MR	198	82	Pb	3	11971.0	66	-1
MR	198	82	Pb	3	12580.0	68	-1
MR	198	82	Pb	4	(6393.8)	36	-1
MR	198	82	Pb	4	(6515.3)	38	-1
MR	198	82	Pb	4	(6674.4)	40	-1
MR	198	82	Pb	4	(6878.3)	42	-1
MR	198	82	Pb	4	(7142.9)	44	-1
MR	198	82	Pb	4	(7480.1)	46	-1
MR	198	82	Pb	4	(7835.0)	48	-1
MR	198	82	Pb	4	(8243.5)	50	-1
MR	198	82	Pb	4	(8695.0)	52	-1
MR	198	82	Pb	4	(9146.5)	54	-1
MR	198	82	Pb	5	7333.4	46	1
MR	198	82	Pb	5	7553.8	48	1
MR	198	82	Pb	5	7794.2	50	1
MR	198	82	Pb	5	8075.5	52	1
MR	198	82	Pb	5	8407.6	54	1
MR	198	82	Pb	5	8799.1	56	1
MR	198	82	Pb	5	9254.3	58	1
MR	198	82	Pb	5	9769.5	60	1
MR	198	82	Pb	5	10328.5	62	1
MR	198	82	Pb	5	10920.7	64	1
MR	199	82	Pb	1	3584.9+X	25	-1
MR	199	82	Pb	1	3674.8+X	27	-1
MR	199	82	Pb	1	3848.7+X	29	-1
MR	199	82	Pb	1	4124.1+X	31	-1
MR	199	82	Pb	1	4483.5+X	33	-1
MR	199	82	Pb	1	4884.8+X	35	-1
MR	199	82	Pb	1	5305.6+X	37	-1
MR	199	82	Pb	1	5727.2+X	39	-1
MR	199	82	Pb	1	6055.7+X	41	-1
MR	199	82	Pb	1	6290.3+X	43	-1
MR	199	82	Pb	1	6530.4+X	45	-1
MR	199	82	Pb	1	6804.2+X	47	-1
MR	199	82	Pb	1	7120.5+X	49	-1
MR	199	82	Pb	1	7483.7+X	51	-1
MR	199	82	Pb	1	7895.1+X	53	-1
MR	199	82	Pb	1	8354.5+X	55	-1
MR	199	82	Pb	1	8862.8+X	57	-1
MR	199	82	Pb	1	9417.5+X	59	-1
MR	199	82	Pb	1	10022.4+X	61	-1
MR	199	82	Pb	1	10659.5+X	63	-1
MR	199	82	Pb	2	Y	35	1
MR	199	82	Pb	2	98.2+Y	37	1
MR	199	82	Pb	2	223.2+Y	39	1
MR	199	82	Pb	2	388.8+Y	41	1
MR	199	82	Pb	2	603.4+Y	43	1
MR	199	82	Pb	2	871.2+Y	45	1
MR	199	82	Pb	2	1194.3+Y	47	1
MR	199	82	Pb	2	1571.4+Y	49	1
MR	199	82	Pb	2	2001.7+Y	51	1
MR	199	82	Pb	2	2483.6+Y	53	1
MR	199	82	Pb	2	3015.6+Y	55	1
MR	199	82	Pb	2	3589.2+Y	57	1
MR	199	82	Pb	2	4207.7+Y	59	1
MR	199	82	Pb	2	4546.9+Y	61	1
MR	199	82	Pb	2	4932.8+Y	63	1
MR	199	82	Pb	2	5353.8+Y	65	1
MR	199	82	Pb	2	5807.2+Y	67	1
MR	199	82	Pb	2	6303.7+Y	69	1
MR	199	82	Pb	2	6846.2+Y	71	1
MR	199	82	Pb	2	7433.9+Y	73	1
MR	199	82	Pb	3	Z	39	1
MR	199	82	Pb	3	137.7+Z	41	1
MR	199	82	Pb	3	302.3+Z	43	1
MR	199	82	Pb	3	510.6+Z	45	1
MR	199	82	Pb	3	781.6+Z	47	1
MR	199	82	Pb	3	1123.6+Z	49	1
MR	199	82	Pb	3	1540.6+Z	51	1
MR	199	82	Pb	3	2023.3+Z	53	1
MR	199	82	Pb	3	2560.1+Z	55	1
MR	199	82	Pb	3	3145.3+Z	57	1
MR	201	82	Pb	2	6146.0+Y	35	
MR	201	82	Pb	2	6247.7+Y	37	
MR	201	82	Pb	2	6377.4+Y	39	
MR	201	82	Pb	2	6549.0+Y	41	
MR	201	82	Pb	2	6769.5+Y	43	
MR	201	82	Pb	2	7045.4+Y	45	
MR	201	82	Pb	2	7380.0+Y	47	
MR	201	82	Pb	2	7773.3+Y	49	
MR	201	82	Pb	2	8227.2+Y	51	
MR	194	83	Bi	1	2428	32	1
MR	194	83	Bi	1	2613	34	1
MR	194	83	Bi	1	2967	36	1
MR	194	83	Bi	1	3411	38	1
MR	194	83	Bi	2	X	32	
MR	194	83	Bi	2	139+X	34	
MR	194	83	Bi	2	281+X	36	
MR	194	83	Bi	2	447+X	38	
MR	194	83	Bi	2	648+X	40	
MR	194	83	Bi	2	891+X	42	
MR	194	83	Bi	2	1166+X	44	
MR	194	83	Bi	2	1469+X	46	
MR	194	83	Bi	2	1799+X	48	
MR	194	83	Bi	2	2117+X	50	
MR	194	83	Bi	2	2403+X	52	
MR	194	83	Bi	2	2670+X	54	
MR	195	83	Bi	1	3409	33	-1
MR	195	83	Bi	1	3595	35	-1
MR	195	83	Bi	1	3725	37	-1
MR	195	83	Bi	1	3954	39	-1
MR	195	83	Bi	1	4256	41	-1
MR	195	83	Bi	1	4637	43	-1
MR	197	83	Bi	1	4019.2	37	
MR	197	83	Bi	1	4237.4	39	
MR	197	83	Bi	1	4492.2	41	
MR	197	83	Bi	1	4784.5	43	
MR	197	83	Bi	1	5111.9	45	
MR	197	83	Bi	1	5376.1	47	
MR	197	83	Bi	1	5678.3	49	
MR	197	83	Bi	1	6033.8	51	
MR	198	83	Bi	1	3635.8+X	38	1
MR	198	83	Bi	1	3966.6+X	40	1
MR	198	83	Bi	1	4192.5+X	42	1
MR	198	83	Bi	1	4482.8+X	44	1
MR	198	83	Bi	1	4845.7+X	46	1
MR	198	83	Bi	1	5272.2+X	48	1
MR	198	83	Bi	1	5767.8+X	50	1
MR	198	83	Bi	1	5971.3+X	52	1
MR	198	83	Bi	1	6486.4+X	54	1
MR	198	83	Bi	2	2596.0+Y	34	-1
MR	198	83	Bi	2	2838.2+Y	36	-1
MR	198	83	Bi	2	3132.3+Y	38	-1
MR	198	83	Bi	2	3429.3+Y	40	-1
MR	198	83	Bi	2	3747.0+Y	42	-1
MR	198	83	Bi	2	4126.8+Y	44	-1
MR	198	83	Bi	2	4339.7+Y	46	-1
MR	198	83	Bi	2	4627.5+Y	48	-1
MR	198	83	Bi	2	4856.7+Y	50	-1
MR	198	83	Bi	3	(2290+Z)	32	1
MR	198	83	Bi	3	2724.4+Z	34	1
MR	198	83	Bi	3	3301.2+Z	36	1
MR	198	83	Bi	3	3763.7+Z	38	1
MR	198	83	Bi	3	4065.5+Z	40	1
MR	198	83	Bi	3	4385.3+Z	42	1
MR	198	83	Bi	3	4646.6+Z	44	1
MR	201	85	At	1	(2290)	23	-1
MR	201	85	At	1	(3135)	25	-1
MR	201	85	At	1	(3380)	27	-1
MR	201	85	At	1	(3667)	29	-1
MR	201	85	At	1	(3984)	31	-1
MR	201	85	At	1	(4256)	33	-1
MR	201	85	At	1	(4454)	35	-1
MR	201	85	At	1	(4791)	37	-1
MR	203	85	At	1	(3486)	27	1
MR	203	85	At	1	(3620)	29	1
MR	203	85	At	1	(3843)	31	1
MR	203	85	At	1	(4102)	33	1
MR	203	85	At	1	(4386)	35	1
MR	203	85	At	1	(4639)	37	1
MR	203	85	At	1	(4818)	39	1
MR	203	85	At	1	(5011)	41	1
MR	203	85	At	1	(5333)	43	1
MR	203	85	At	1	(5714)	45	1
MR	205	86	Rn	1	1680.0+X	21	1
MR	205	86	Rn	1	1796.7+X	23	1
MR	205	86	Rn	1	1966.9+X	25	1
MR	205	86	Rn	1	2124.8+X	27	1
MR	205	86	Rn	1	2246.0+X	29	1
MR	205	86	Rn	1	2494.0+X	31	1
MR	205	86	Rn	1	2861.7+X	33	1
MR	205	86	Rn	1	3164.1+X	35	1
MR	205	86	Rn	1	3452.3+X	37	1
MR	205	86	Rn	1	3653.6+X	39	1
MR	205	86	Rn	1	4059.4+X	41	1
AMR	58	26	Fe	1	5086.7	12	
AMR	58	26	Fe	1	6033.8	16	
AMR	58	26	Fe	1	7457.0	20	
AMR	58	26	Fe	1	9444.6	24	
AMR	58	26	Fe	1	11852.7	28	
AMR	58	26	Fe	1	14265.0	32	
AMR	58	26	Fe	2	8424.1	20	1
AMR	58	26	Fe	2	9983.0	24	1
AMR	58	26	Fe	2	11906.6	28	1
AMR	58	26	Fe	2	14314.5	32	1
AMR	61	28	Ni	1	3297.6	11	1
AMR	61	28	Ni	1	4476.0	15	1
AMR	61	28	Ni	1	6065.0	19	1
AMR	61	28	Ni	1	7603.6	23	1
AMR	61	28	Ni	1	9104.4	27	1
AMR	99	46	Pd	1	4014	23	-1
AMR	99	46	Pd	1	4773	27	-1
AMR	99	46	Pd	1	5781	31	-1
AMR	99	46	Pd	1	6803	35	-1
AMR	99	46	Pd	1	8183	39	-1
AMR	99	46	Pd	1	9513	43	-1
AMR	99	46	Pd	1	11457	47	-1
AMR	100	46	Pd	1	5666	26	-1
AMR	100	46	Pd	1	6701	30	-1
AMR	100	46	Pd	1	7641	34	-1
AMR	100	46	Pd	1	8712	38	-1
AMR	100	46	Pd	1	10100	42	-1
AMR	100	46	Pd	1	11682	46	-1
AMR	100	46	Pd	1	13434	50	-1
AMR	101	46	Pd	1	4442	27	-1
AMR	101	46	Pd	1	5413	31	-1
AMR	101	46	Pd	1	6487	35	-1
AMR	101	46	Pd	1	7615	39	-1
AMR	101	46	Pd	1	9037	43	-1
AMR	101	46	Pd	1	10628	47	-1
AMR	102	46	Pd	1	8419	36	1
AMR	102	46	Pd	1	9544	40	1
AMR	102	46	Pd	1	10793	44	1
AMR	102	46	Pd	1	12074	48	1
AMR	102	46	Pd	1	13590	52	1
AMR	102	46	Pd	1	15253	56	1
AMR	102	46	Pd	1	16959	60	1
AMR	102	46	Pd	1	18827	64	1
AMR	103	46	Pd	1	2823	23	-1
AMR	103	46	Pd	1	3793	27	-1
AMR	103	46	Pd	1	4887	31	-1
AMR	103	46	Pd	1	6049	35	-1
AMR	103	46	Pd	1	7316	39	-1
AMR	103	46	Pd	1	8668	43	-1
AMR	103	46	Pd	1	10119	47	-1
AMR	103	46	Pd	1	11638	51	-1
AMR	103	46	Pd	2	4160	25	1
AMR	103	46	Pd	2	5025	29	1
AMR	103	46	Pd	2	5984	33	1
AMR	103	46	Pd	2	7056	37	1
AMR	103	46	Pd	2	8212	41	1
AMR	103	46	Pd	2	9442	45	1
AMR	103	46	Pd	2	10741	49	1
AMR	103	46	Pd	2	12208	53	1
AMR	103	46	Pd	2	13798	57	1
AMR	103	46	Pd	2	15487	61	1
AMR	103	46	Pd	2	17357	65	1
AMR	103	46	Pd	3	4587	27	1
AMR	103	46	Pd	3	5458	31	1
AMR	103	46	Pd	3	6452	35	1
AMR	103	46	Pd	3	7593	39	1
AMR	103	46	Pd	3	8831	43	1
AMR	103	46	Pd	3	10190	47	1
AMR	103	46	Pd	3	11643	51	1
AMR	103	46	Pd	3	13240	55	1
AMR	103	46	Pd	3	14932	59	1
AMR	104	46	Pd	1	6360	32	1
AMR	104	46	Pd	1	7424	36	1
AMR	104	46	Pd	1	8617	40	1
AMR	104	46	Pd	1	9873	44	1
AMR	104	46	Pd	1	11239	48	1
AMR	104	46	Pd	1	12707	52	1
AMR	105	46	Pd	1	3874	27	1
AMR	105	46	Pd	1	4669	31	1
AMR	105	46	Pd	1	5683	35	1
AMR	105	46	Pd	1	6859	39	1
AMR	105	46	Pd	1	8125	43	1
AMR	105	46	Pd	1	9434	47	1
AMR	105	46	Pd	1	10863	51	1
AMR	105	46	Pd	1	12393	55	1
AMR	105	46	Pd	2	3528	25	1
AMR	105	46	Pd	2	4255	29	1
AMR	105	46	Pd	2	5256	33	1
AMR	105	46	Pd	2	6402	37	1
AMR	105	46	Pd	2	7647	41	1
AMR	105	46	Pd	2	8965	45	1
AMR	105	46	Pd	2	10391	49	1
AMR	105	46	Pd	2	11899	53	1
AMR	105	48	Cd	1	3343.0	23	-1
AMR	105	48	Cd	1	4248.0	27	-1
AMR	105	48	Cd	1	5291.7	31	-1
AMR	105	48	Cd	1	6471.3	35	-1
AMR	105	48	Cd	1	7802.3	39	-1
AMR	105	48	Cd	1	9264.1	43	-1
AMR	105	48	Cd	1	10844.6	47	-1
AMR	106	48	Cd	1	7119.0	32	1
AMR	106	48	Cd	1	8099.8	36	1
AMR	106	48	Cd	1	9250.4	40	1
AMR	106	48	Cd	1	10561.0	44	1
AMR	106	48	Cd	1	12048.6	48	1
AMR	106	48	Cd	1	13726.2	52	1
AMR	107	48	Cd	1	4191.0	25	1
AMR	107	48	Cd	1	4877.0	29	1
AMR	107	48	Cd	1	5816.0	33	1
AMR	107	48	Cd	1	6922.6	37	1
AMR	107	48	Cd	1	8188.1	41	1
AMR	107	48	Cd	1	9622.1	45	1
AMR	107	48	Cd	1	11230.1	49	1
AMR	107	48	Cd	2	4009.0	23	1
AMR	107	48	Cd	2	4502.0	27	1
AMR	107	48	Cd	2	5230.9	31	1
AMR	107	48	Cd	2	6183.2	35	1
AMR	107	48	Cd	2	7316.4	39	1
AMR	107	48	Cd	2	8669.2	43	1
AMR	107	48	Cd	2	10221.7	47	1
AMR	107	48	Cd	2	11851.7	51	1
AMR	108	48	Cd	1	5503.0	28	1
AMR	108	48	Cd	1	6468.3	32	1
AMR	108	48	Cd	1	7573.6	36	1
AMR	108	48	Cd	1	8833.9	40	1
AMR	108	48	Cd	1	10303.0	44	1
AMR	108	48	Cd	1	11924.1	48	1
AMR	109	48	Cd	1	5048	31	-1
AMR	109	48	Cd	1	5969	35	-1
AMR	109	48	Cd	1	7007	39	-1
AMR	109	48	Cd	1	8199	43	-1
AMR	109	48	Cd	1	9566	47	-1
AMR	109	48	Cd	1	11130	51	-1
AMR	109	48	Cd	2	3940	27	1
AMR	109	48	Cd	2	4725	31	1
AMR	109	48	Cd	2	5776	35	1
AMR	109	48	Cd	2	7078	39	1
AMR	109	48	Cd	2	8599	43	1
AMR	109	48	Cd	3	3525	25	1
AMR	109	48	Cd	3	4247	29	1
AMR	109	48	Cd	3	5264	33	1
AMR	109	48	Cd	3	6519	37	1
AMR	109	48	Cd	3	7909	41	1
AMR	109	48	Cd	3	9378	45	1
AMR	110	48	Cd	1	7325	36	1
AMR	110	48	Cd	1	8648	40	1
AMR	110	48	Cd	1	9962	44	1
AMR	110	48	Cd	1	11320	48	1
AMR	110	48	Cd	1	12763	52	1
AMR	110	48	Cd	1	14206	56	1
AMR	111	48	Cd	1	4556	31	-1
AMR	111	48	Cd	1	5502	35	-1
AMR	111	48	Cd	1	6649	39	-1
AMR	111	48	Cd	1	7951	43	-1
AMR	111	48	Cd	1	9407	47	-1
AMR	108	49	In	1	1861.0	16	-1
AMR	108	49	In	1	2438.9	20	-1
AMR	108	49	In	1	3273.6	24	-1
AMR	108	49	In	1	4265.1	28	-1
AMR	108	49	In	2	5707.2	22	
AMR	108	49	In	2	6611.4	26	
AMR	108	49	In	2	6611.4	30	
AMR	108	49	In	2	5707.2	34	
AMR	108	49	In	2	6611.4	38	
AMR	108	49	In	2	7613.8	42	
AMR	108	49	In	2	8792.8	46	
AMR	109	49	In	1	4299.2	21	1
AMR	109	49	In	1	4742.8	25	1
AMR	109	49	In	1	5396.8	29	1
AMR	109	49	In	1	6261.6	33	1
AMR	109	49	In	1	7286.4	37	1
AMR	109	49	In	1	8460.8	41	1
AMR	109	49	In	2	4755.7	23	1
AMR	109	49	In	2	5218.7	27	1
AMR	109	49	In	2	5849.8	31	1
AMR	109	49	In	2	6666.1	35	1
AMR	109	49	In	2	7639.1	39	1
AMR	109	49	In	2	8782.5	43	1
AMR	110	49	In	1	6061.5	16	-1
AMR	110	49	In	1	6061.5	20	-1
AMR	110	49	In	1	6061.5	24	-1
AMR	110	49	In	1	6061.5	28	-1
AMR	110	49	In	1	6061.5	32	-1
AMR	110	49	In	1	6061.5	36	-1
AMR	110	49	In	1	6998.6	40	-1
AMR	110	49	In	1	8087.2	44	-1
AMR	110	49	In	1	9397.6	48	-1
AMR	110	49	In	2	5556.0	18	-1
AMR	110	49	In	2	5556.0	22	-1
AMR	110	49	In	2	5556.0	26	-1
AMR	110	49	In	2	5556.0	30	-1
AMR	110	49	In	2	5556.0	34	-1
AMR	110	49	In	2	6445.1	38	-1
AMR	110	49	In	2	7391.3	42	-1
AMR	110	49	In	2	8463.3	46	-1
AMR	110	49	In	2	9698.2	50	-1
AMR	110	49	In	2	11117.3	54	-1
AMR	110	49	In	2	12744.1	58	-1
AMR	112	49	In	1	4390	34	-1
AMR	112	49	In	1	5234	38	-1
AMR	112	49	In	1	6155	42	-1
AMR	112	49	In	1	7147	46	-1
AMR	112	49	In	1	8327	50	-1
AMR	113	49	In	1	3966	23	1
AMR	113	49	In	1	4605	27	1
AMR	113	49	In	1	5314	31	1
AMR	113	49	In	1	6230	35	1
AMR	113	49	In	1	7291	39	1
AMR	113	49	In	1	8439	43	1
AMR	113	49	In	1	9667	47	1
AMR	113	49	In	1	10938	51	1
AMR	127	54	Xe	1	2307	19	1
AMR	127	54	Xe	1	2778.8	23	1
AMR	127	54	Xe	1	3425.4	27	1
AMR	127	54	Xe	1	4237.9	31	1
AMR	127	54	Xe	1	5197.4	35	1
AMR	127	54	Xe	1	6276.4	39	1
AMR	130	56	Ba	1	5713.8	30	-1
AMR	130	56	Ba	1	6587.5	34	-1
AMR	130	56	Ba	1	7561.1	38	-1
AMR	137	60	Nd	1	6072	35	-1
AMR	137	60	Nd	1	7036	39	-1
AMR	137	60	Nd	1	8094	43	-1
AMR	137	60	Nd	1	9254	47	-1
AMR	137	60	Nd	1	10514	51	-1
AMR	137	60	Nd	1	11878	55	-1
AMR	137	60	Nd	1	13351	59	-1
AMR	137	60	Nd	1	14936	63	-1
AMR	137	60	Nd	1	16633	67	-1
AMR	137	60	Nd	1	18437	71	-1
AMR	137	60	Nd	1	20350	75	-1
AMR	142	63	Eu	1	3578.0	34	-1
AMR	142	63	Eu	1	4110.0	38	-1
AMR	142	63	Eu	1	4930.1	42	-1
AMR	142	63	Eu	1	6005.9	46	-1
AMR	142	63	Eu	1	7286.9	50	-1
AMR	142	63	Eu	1	8750.9	54	-1
AMR	143	63	Eu	1	7389.0	43	1
AMR	143	63	Eu	1	8003.8	47	1
AMR	143	63	Eu	1	8870.3	51	1
AMR	143	63	Eu	1	9977.8	55	1
AMR	143	63	Eu	1	11227.5	59	1
AMR	143	63	Eu	1	12627.5	63	1
AMR	143	63	Eu	2	12018.4	63	1
AMR	143	63	Eu	2	12974.0	67	1
AMR	143	63	Eu	2	14159.7	71	1
AMR	144	66	Dy	1	3172.4	20	1
AMR	144	66	Dy	1	3836.5	24	1
AMR	144	66	Dy	1	4560.3	28	1
AMR	144	66	Dy	1	5320.7	32	1
AMR	144	66	Dy	1	6092.1	36	1
